frame_index,time_s,raw_diff,smooth_diff,progress
0,0.000000,0.000,0.000,0.000000
1,0.028955,8390.000,8390.000,0.000798
2,0.057910,41782.000,41782.000,0.003975
3,0.086865,44392.000,44392.000,0.004223
4,0.115820,47502.000,47502.000,0.004519
5,0.144775,49932.000,49932.000,0.004750
6,0.173730,51433.000,51433.000,0.004893
7,0.202685,53249.000,52971.000,0.005039
8,0.231640,52971.000,53249.000,0.005066
9,0.260595,54632.000,54626.000,0.005197
10,0.289549,54626.000,54632.000,0.005197
11,0.318504,54656.000,54646.000,0.005199
12,0.347459,54656.000,54656.000,0.005200
13,0.376414,54646.000,54656.000,0.005200
14,0.405369,54656.000,54656.000,0.005200
15,0.434324,54646.000,54646.000,0.005199
16,0.463279,54656.000,54656.000,0.005200
17,0.492234,54646.000,54646.000,0.005199
18,0.521189,54656.000,54656.000,0.005200
19,0.550144,54646.000,54646.000,0.005199
20,0.579099,54656.000,54656.000,0.005200
21,0.608054,54646.000,54646.000,0.005199
22,0.637009,54656.000,54656.000,0.005200
23,0.665964,54646.000,54646.000,0.005199
24,0.694919,54656.000,54656.000,0.005200
25,0.723874,54646.000,54646.000,0.005199
26,0.752829,54656.000,54656.000,0.005200
27,0.781784,54646.000,54656.000,0.005200
28,0.810739,54656.000,54656.000,0.005200
29,0.839694,55578.000,55573.000,0.005287
30,0.868648,55573.000,55573.000,0.005287
31,0.897603,55573.000,55573.000,0.005287
32,0.926558,55573.000,55573.000,0.005287
33,0.955513,55573.000,55573.000,0.005287
34,0.984468,55573.000,55573.000,0.005287
35,1.013423,55573.000,55573.000,0.005287
36,1.042378,55573.000,55573.000,0.005287
37,1.071333,55573.000,55573.000,0.005287
38,1.100288,55573.000,55573.000,0.005287
39,1.129243,55573.000,55573.000,0.005287
40,1.158198,55573.000,55573.000,0.005287
41,1.187153,55573.000,55573.000,0.005287
42,1.216108,55573.000,55573.000,0.005287
43,1.245063,55573.000,55573.000,0.005287
44,1.274018,55573.000,55573.000,0.005287
45,1.302973,55573.000,55573.000,0.005287
46,1.331928,55573.000,55573.000,0.005287
47,1.360883,55573.000,55573.000,0.005287
48,1.389838,55518.000,55573.000,0.005287
49,1.418792,98917.000,93589.000,0.008903
50,1.447747,97176.000,93589.000,0.008903
51,1.476702,93589.000,93589.000,0.008903
52,1.505657,89967.000,89967.000,0.008559
53,1.534612,86374.000,86374.000,0.008217
54,1.563567,82676.000,82676.000,0.007865
55,1.592522,79008.000,79008.000,0.007516
56,1.621477,75499.000,79008.000,0.007516
57,1.650432,71829.000,79008.000,0.007516
58,1.679387,9449022.000,9361745.000,0.890612
59,1.708342,9449671.000,9361745.000,0.890612
60,1.737297,9361745.000,9361745.000,0.890612
61,1.766252,9360445.000,9360445.000,0.890489
62,1.795207,8932817.000,9360445.000,0.890489
63,1.824162,7841877.000,9360445.000,0.890489
64,1.853117,9977115.000,9977115.000,0.949154
65,1.882072,10081871.000,10081871.000,0.959120
66,1.911027,10138320.000,10138320.000,0.964490
67,1.939982,10224083.000,10224083.000,0.972649
68,1.968937,10283719.000,10283719.000,0.978323
69,1.997891,10328590.000,10328590.000,0.982591
70,2.026846,10352399.000,10352399.000,0.984856
71,2.055801,10376395.000,10376395.000,0.987139
72,2.084756,10402045.000,10402045.000,0.989579
73,2.113711,10417971.000,10417971.000,0.991094
74,2.142666,10428315.000,10428315.000,0.992078
75,2.171621,10443026.000,10443026.000,0.993478
76,2.200576,10472970.000,10443122.000,0.993487
77,2.229531,10475669.000,10443122.000,0.993487
78,2.258486,10443122.000,10443122.000,0.993487
79,2.287441,10441877.000,10441877.000,0.993369
80,2.316396,10440370.000,10440370.000,0.993225
81,2.345351,10438752.000,10438752.000,0.993071
82,2.374306,10434894.000,10434894.000,0.992704
83,2.403261,10432667.000,10432667.000,0.992492
84,2.432216,10432143.000,10432143.000,0.992443
85,2.461171,10431556.000,10431556.000,0.992387
86,2.490126,10430914.000,10431405.000,0.992372
87,2.519081,10430827.000,10431405.000,0.992372
88,2.548035,10431405.000,10431405.000,0.992372
89,2.576990,10431470.000,10431463.000,0.992378
90,2.605945,10431463.000,10431463.000,0.992378
91,2.634900,10431463.000,10431463.000,0.992378
92,2.663855,10431463.000,10431463.000,0.992378
93,2.692810,10431463.000,10431463.000,0.992378
94,2.721765,10431463.000,10431463.000,0.992378
95,2.750720,10431463.000,10431463.000,0.992378
96,2.779675,10431463.000,10431463.000,0.992378
97,2.808630,10431463.000,10431463.000,0.992378
98,2.837585,10431463.000,10431463.000,0.992378
99,2.866540,10431463.000,10431463.000,0.992378
100,2.895495,10431536.000,10431505.000,0.992382
101,2.924450,10431505.000,10431505.000,0.992382
102,2.953405,10431536.000,10431505.000,0.992382
103,2.982360,10431505.000,10431505.000,0.992382
104,3.011315,10382940.000,10431505.000,0.992382
105,3.040270,10414656.000,10431505.000,0.992382
106,3.069225,10469304.000,10469282.000,0.995976
107,3.098180,10469282.000,10469304.000,0.995978
108,3.127134,10508579.000,10506151.000,0.999483
109,3.156089,10506151.000,10506422.000,0.999509
110,3.185044,10506422.000,10508579.000,0.999714
111,3.213999,10508977.000,10506422.000,0.999509
112,3.242954,10509026.000,10506422.000,0.999509
113,3.271909,10505738.000,10505738.000,0.999444
114,3.300864,10499474.000,10499474.000,0.998848
115,3.329819,10494311.000,10494311.000,0.998357
116,3.358774,10483690.000,10483690.000,0.997346
117,3.387729,10477607.000,10477638.000,0.996771
118,3.416684,10477638.000,10477607.000,0.996768
119,3.445639,10471341.000,10471341.000,0.996172
120,3.474594,10458932.000,10458932.000,0.994991
121,3.503549,10452611.000,10452611.000,0.994390
122,3.532504,10446334.000,10446334.000,0.993793
123,3.561459,10440097.000,10440128.000,0.993202
124,3.590414,10440128.000,10440097.000,0.993199
125,3.619369,10433699.000,10433699.000,0.992591
126,3.648324,10431482.000,10431482.000,0.992380
127,3.677278,10431451.000,10431482.000,0.992380
128,3.706233,10431482.000,10431482.000,0.992380
129,3.735188,10432983.000,10432983.000,0.992523
130,3.764143,10433014.000,10432983.000,0.992523
131,3.793098,10432983.000,10432983.000,0.992523
132,3.822053,10433014.000,10433014.000,0.992525
133,3.851008,10432983.000,10432983.000,0.992523
134,3.879963,10433014.000,10433014.000,0.992525
135,3.908918,10432983.000,10432983.000,0.992523
136,3.937873,10433014.000,10432983.000,0.992523
137,3.966828,10384968.000,10385346.000,0.987991
138,3.995783,10385346.000,10385346.000,0.987991
139,4.024738,10383106.000,10385346.000,0.987991
140,4.053693,10427284.000,10427284.000,0.991980
141,4.082648,10511583.000,10511583.000,1.000000
142,4.111603,10511891.000,10511583.000,1.000000
143,4.140558,10511868.000,10511583.000,1.000000
144,4.169513,10508422.000,10508422.000,0.999699
145,4.198468,10501910.000,10501910.000,0.999080
146,4.227423,10495522.000,10495522.000,0.998472
147,4.256377,10489091.000,10489091.000,0.997860
148,4.285332,10482900.000,10482900.000,0.997271
149,4.314287,10476460.000,10476460.000,0.996659
150,4.343242,10470118.000,10470118.000,0.996055
151,4.372197,10463794.000,10463794.000,0.995454
152,4.401152,10458196.000,10458196.000,0.994921
153,4.430107,10451783.000,10451783.000,0.994311
154,4.459062,10445545.000,10445545.000,0.993718
155,4.488017,10439091.000,10439091.000,0.993104
156,4.516972,10432952.000,10432952.000,0.992520
157,4.545927,10432921.000,10432952.000,0.992520
158,4.574882,10432952.000,10432952.000,0.992520
159,4.603837,10432921.000,10432921.000,0.992517
160,4.632792,10432952.000,10432952.000,0.992520
161,4.661747,10432921.000,10432921.000,0.992517
162,4.690702,10432952.000,10432952.000,0.992520
163,4.719657,10432921.000,10432921.000,0.992517
164,4.748612,10432952.000,10432952.000,0.992520
165,4.777567,10432921.000,10432952.000,0.992520
166,4.806521,10432952.000,10432952.000,0.992520
167,4.835476,10452605.000,10452605.000,0.994389
168,4.864431,10452644.000,10452613.000,0.994390
169,4.893386,10452613.000,10452613.000,0.994390
170,4.922341,10452644.000,10452613.000,0.994390
171,4.951296,10443401.000,10443401.000,0.993514
172,4.980251,10397564.000,10397564.000,0.989153
173,5.009206,10380331.000,10380514.000,0.987531
174,5.038161,10380514.000,10380331.000,0.987514
175,5.067116,10380197.000,10380197.000,0.987501
176,5.096071,10379730.000,10380197.000,0.987501
177,5.125026,10379150.000,10380197.000,0.987501
178,5.153981,10413993.000,10413993.000,0.990716
179,5.182936,10474529.000,10474529.000,0.996475
180,5.211891,10485312.000,10485312.000,0.997501
181,5.240846,10485315.000,10485315.000,0.997501
182,5.269801,10485406.000,10485406.000,0.997510
183,5.298756,10485412.000,10485406.000,0.997510
184,5.327711,10485413.000,10485412.000,0.997510
185,5.356665,10485398.000,10485412.000,0.997510
186,5.385620,10485500.000,10485398.000,0.997509
187,5.414575,10485034.000,10485229.000,0.997493
188,5.443530,10485229.000,10485136.000,0.997484
189,5.472485,10485099.000,10485099.000,0.997480
190,5.501440,10485136.000,10485099.000,0.997480
191,5.530395,10482925.000,10482925.000,0.997274
192,5.559350,10478598.000,10478598.000,0.996862
193,5.588305,10474354.000,10474354.000,0.996458
194,5.617260,10470810.000,10470810.000,0.996121
195,5.646215,10466621.000,10466621.000,0.995723
196,5.675170,10462799.000,10462799.000,0.995359
197,5.704125,10458454.000,10458454.000,0.994946
198,5.733080,10454230.000,10454230.000,0.994544
199,5.762035,10449804.000,10449804.000,0.994123
200,5.790990,10445435.000,10445435.000,0.993707
201,5.819945,10441442.000,10441442.000,0.993327
202,5.848900,10436989.000,10436989.000,0.992904
203,5.877855,10432764.000,10432886.000,0.992513
204,5.906810,10432886.000,10432886.000,0.992513
205,5.935764,10432855.000,10432855.000,0.992510
206,5.964719,10432886.000,10432886.000,0.992513
207,5.993674,10432855.000,10432855.000,0.992510
208,6.022629,10432886.000,10432886.000,0.992513
209,6.051584,10432855.000,10432855.000,0.992510
210,6.080539,10432886.000,10432886.000,0.992513
211,6.109494,10432855.000,10432855.000,0.992510
212,6.138449,10432886.000,10432855.000,0.992510
