frame_index,time_s,raw_diff,smooth_diff,progress
0,0.000000,0.000,0.000,0.000000
1,0.027737,8414.000,8414.000,0.000800
2,0.055473,42020.000,42020.000,0.003996
3,0.083210,44647.000,44647.000,0.004246
4,0.110947,47583.000,47583.000,0.004525
5,0.138684,49759.000,49759.000,0.004732
6,0.166420,51413.000,51413.000,0.004889
7,0.194157,52841.000,51959.000,0.004941
8,0.221894,51959.000,52161.000,0.004960
9,0.249631,52161.000,52161.000,0.004960
10,0.277367,52161.000,52161.000,0.004960
11,0.305104,52191.000,52181.000,0.004962
12,0.332841,52191.000,52191.000,0.004963
13,0.360577,52181.000,52191.000,0.004963
14,0.388314,52191.000,52191.000,0.004963
15,0.416051,52181.000,52181.000,0.004962
16,0.443788,52191.000,52191.000,0.004963
17,0.471524,52181.000,52181.000,0.004962
18,0.499261,52191.000,52191.000,0.004963
19,0.526998,52181.000,52181.000,0.004962
20,0.554734,52191.000,52191.000,0.004963
21,0.582471,52181.000,52181.000,0.004962
22,0.610208,52191.000,52191.000,0.004963
23,0.637945,52181.000,52181.000,0.004962
24,0.665681,52191.000,52191.000,0.004963
25,0.693418,52181.000,52181.000,0.004962
26,0.721155,52191.000,52191.000,0.004963
27,0.748892,52181.000,52191.000,0.004963
28,0.776628,52191.000,52191.000,0.004963
29,0.804365,52886.000,52886.000,0.005029
30,0.832102,52886.000,52886.000,0.005029
31,0.859838,52886.000,52886.000,0.005029
32,0.887575,52886.000,52886.000,0.005029
33,0.915312,52886.000,52886.000,0.005029
34,0.943049,52886.000,52886.000,0.005029
35,0.970785,52886.000,52886.000,0.005029
36,0.998522,52886.000,52886.000,0.005029
37,1.026259,52886.000,52886.000,0.005029
38,1.053996,52886.000,52886.000,0.005029
39,1.081732,52886.000,52886.000,0.005029
40,1.109469,52886.000,52886.000,0.005029
41,1.137206,52886.000,52886.000,0.005029
42,1.164942,52886.000,52886.000,0.005029
43,1.192679,52886.000,52886.000,0.005029
44,1.220416,52886.000,52886.000,0.005029
45,1.248153,52886.000,52886.000,0.005029
46,1.275889,52878.000,52886.000,0.005029
47,1.303626,52878.000,52886.000,0.005029
48,1.331363,95156.000,95156.000,0.009049
49,1.359100,95163.000,95156.000,0.009049
50,1.386836,95170.000,95156.000,0.009049
51,1.414573,91701.000,91701.000,0.008720
52,1.442310,88378.000,88378.000,0.008404
53,1.470046,81757.000,81757.000,0.007774
54,1.497783,78394.000,78394.000,0.007455
